dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
6.50,8,,6.75,N1:5.80,33000283,,7.80,6.75,
5,6,,3.50,N1:3.20,33000284,,5,6.50,
7,8.25,,4.75,N1:6.80,33000285,,8,7.25,
4.50,7,,3.50,N1:3.20,33000286,,4.20,6.25,
,,7,,N1:4.40,33000287,4.50,7.20,7.75,3.25
7,9,,5.50,N1:4.60,33000288,,7.60,6.75,
7,8.25,,4,N1:8.20,33000289,,8,7.25,
,,8,,N1:4.60,33000290,8.50,8.80,8.75,6.50
8.50,8.75,,8,N1:9,33000291,,9.40,9.25,
5,5.50,,2.75,N1:3,33000292,,2,3,
,,8,,N1:5.60,33000293,6.25,9.40,7.50,8.25
6.75,7.75,,5,N1:2.60,33000294,,5.80,5.25,
,,7.50,,N1:3.80,33000295,5.50,9,6.50,7.50
,,6,,N1:3.40,33000296,2.50,8,4,5
6.25,7,,4.25,N1:3.80,33000297,,8,7.75,
8,9,,6.50,N1:8.40,33000298,,9.20,8.50,
5.75,8.50,,2.50,N1:3,33000299,,6.40,4.50,
6.75,7,,3.50,N1:2.80,33000300,,3.40,5.50,
7,9,,4.75,N1:4.60,33000301,,7.60,6.50,
,,7.25,,N1:5.40,33000302,5.75,8.60,4.50,6.25
6,7,,3.50,N1:4.60,33000303,,7.40,7.75,
6,6.75,,4.25,N1:4.20,33000304,,7.40,9.25,
6.25,8.25,,6.25,N1:2.80,33000305,,8.40,4.50,
5.50,7,,3.25,N1:3.80,33000306,,7.80,7,
4.25,6.50,,2.25,N1:2.40,33000307,,5.40,4,
5.75,7.50,,4.25,N1:2.80,33000308,,4,5.75,
6.50,7.50,,3.25,N1:2.20,33000309,,6.80,5.75,
5.75,8.50,,2.75,N1:5,33000310,,7,8.25,
6.75,8.50,,6,N1:8.40,33000311,,8.60,9,
7.50,7.75,,7,N1:4.20,33000312,,7.60,7,
5.75,6.50,,4.50,N1:3.60,33000313,,5.20,6.50,
6.75,8.75,,6.50,N1:5,33000314,,8.20,7,
6.75,8,,2.75,N1:5.60,33000315,,7.20,6.75,
6.25,8.75,,5.50,N1:2.80,33000316,,7.80,6.75,
,,6.75,,N1:4.40,33000317,6.50,8.80,7.50,8
,,7.25,,N1:3,33000318,3.25,8.40,5,8.25
6.25,8,,3,N1:3,33000319,,3.40,5.50,
6.50,8.50,,5.25,N1:6.60,33000320,,7.80,8,
,,4.75,,N1:7,33000321,4,8.80,5.25,7.25
5,8,,5.50,N1:3,33000322,,7,4.50,
5.50,7.50,,5.25,N1:3.40,33000323,,7,5.50,
5.25,8.50,,4.25,N1:7,33000324,,8.40,9,
,,8.50,,N1:5.60,33000325,6.75,8,5.75,8
,,8.25,,N1:6.80,33000326,7.50,8.20,8,7.50
6.75,7.50,,4.25,N1:2.20,33000327,,5.80,7.50,
6.25,8.25,,4.50,N1:6,33000328,,7.20,7.25,
4.75,6.25,,3.50,N1:3,33000329,,4,6.75,
,,7.75,,N1:5.20,33000330,4,8.40,6.25,7
6.25,6.75,,3.75,N1:5,33000331,,7,8.25,
6.50,9.25,,5.50,N1:4.60,33000332,,7.60,6,
,,5.75,,N1:6.60,33000333,5.50,9.40,5.75,8.75
,,4.25,,N1:5.80,33000334,5.25,8.40,6,6.50
6.50,8.75,,7,N1:2.80,33000335,,7.80,4.50,
6,7.75,,4.75,N1:3.20,33000336,,3.20,6.50,
6.75,8,,5.25,N1:3.60,33000337,,2.80,5,
,,8.50,,N1:3.60,33000338,3.75,8.80,7,7.50
5.75,5.50,,4.25,N1:3.20,33000339,,5,5.50,
7,9,,4.75,N1:4,33000340,,7,6.25,
,,6.50,,N1:6.40,33000341,5.50,8.60,6.50,7.50
8.25,7.75,,6,N1:2.20,33000342,,6.40,6.75,
5.75,7.50,,3.25,N1:3.40,33000343,,7.60,7.50,
7.25,7.50,,4.50,N1:6,33000344,,8.80,8.25,
4.50,6.75,,6,N1:2.20,33000345,,5.20,5,
7,8,,5,N1:2.60,33000346,,6,5,
6.25,8.25,,4.25,N1:3.20,33000347,,4.60,7,
6,8.25,,3,N1:5.60,33000348,,8.20,8.25,
8,8.50,,5.25,N1:4.40,33000349,,7,7.25,
,,8.50,,N1:5,33000350,5,9.20,5.75,9
5.50,6.75,,2.75,N1:2.60,33000351,,4.20,3.50,
7.25,7.50,,3,N1:3.80,33000352,,8,5.25,
8,8.75,,6,N1:9.20,33000353,,8.80,8,
8,7.50,,4.50,N1:4,33000354,,6.40,5.75,
7.25,8,,3.75,N1:4.60,33000355,,5.40,7.25,
,,4.75,,N1:6.60,33000356,5.50,9.40,7,8.25
,,8.50,,N1:5.40,33000357,5.50,8,8.25,7.75
5.50,7.50,,3.50,N1:6,33000358,,6.60,7,
7.50,8.25,,6,N1:6.60,33000359,,8.60,8.50,
7.25,9.25,,6.75,N1:4.40,33000360,,7.60,7,
,,5.75,,N1:9.40,33000361,5,8.60,7.92,8.50
8.25,9,,4.25,N1:4.80,33000362,,7.40,7.58,
6,6.50,,4.25,N1:2,33000363,,4.20,6.50,
7,8.50,,4.25,N1:5.20,33000364,,5.40,7.33,
,,4.25,,N1:6,33000365,6.50,8.60,6.83,7
6.50,8,,4.25,N1:5.80,33000366,,7.40,6.75,
7.50,8.25,,6.25,N1:2.60,33000367,,6.60,7.25,
,,7.75,,N1:8.80,33000368,6.50,9.60,7.25,9
6.75,6.25,,4.25,N1:4,33000369,,3,3.25,
7.25,8.50,,4.25,N1:3.60,33000370,,7.80,6.25,
