authors,cover_type,currency,link_book,link_img,price,title
Bìa mềm,,VND,https://tiki.vn/cong-nghe-chat-thom-thien-nhien-p14687512.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/27/fd/e0/da036d2febab11ed541c4cdf145efd2c.jpg,40000.0,Công nghệ chất thơm thiên nhiên
TS. Nguyễn Lan,Bìa mềm,VND,https://tiki.vn/hoat-tai-va-danh-gia-kha-nang-chiu-hoat-tai-cong-trinh-cau-sach-chuyen-khao-p54639338.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/18/2c/d2/642ddc714f1cbb0e23a83f656557d717.jpg,139200.0,Hoạt Tải Và Đánh Giá Khả Năng Chịu Hoạt Tải Công Trình Cầu (Sách Chuyên Khảo)
Bìa mềm,,VND,https://tiki.vn/truyen-dong-tu-dong-va-dieu-khien-khi-nen-sach-bai-tap-p17605028.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/c6/73/01/49f4fa35fc2a4c929294132a52764d97.jpg,45000.0,Truyền động tự động và điều khiển khí nén - Sách bài tập
TS.KTS. Đỗ Hậu,Bìa mềm,VND,https://tiki.vn/quan-ly-dat-dai-va-bat-dong-san-do-thi-p27177665.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/d6/f9/06/5f04a56d5123c8893d23da0a2cf44298.jpg,48450.0,Quản Lý Đất Đai Và Bất Động Sản Đô Thị
Bộ Xây dựng,Bìa mềm,VND,https://tiki.vn/tcvn-2737-1995-tai-trong-va-tac-dong-tieu-chuan-thiet-ke-p28667323.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/22/eb/e3/c9d591fd9f77da3b6d6713aec9c43b33.jpg,37400.0,TCVN 2737 - 1995 Tải Trọng Và Tác Động – Tiêu Chuẩn Thiết Kế
PGS.TS. Phạm Văn Chuyên,Bìa mềm,VND,https://tiki.vn/trac-dia-dai-cuong-p27177667.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/0a/21/aa/6aea2cca7f7df349afcccd8cd4833649.jpg,76800.0,Trắc Địa Đại Cương
Hs. Gia Bảo,Bìa mềm,VND,https://tiki.vn/my-thuat-can-ban-va-nang-cao-ve-truyen-tranh-hoat-hinh-mau-xanh-la-p517196.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img078.u2487.d20160623.t144346.jpg,19500.0,Mỹ Thuật Căn Bản Và Nâng Cao - Vẽ Truyện Tranh Hoạt Hình (Màu Xanh Lá)
Bìa mềm,,VND,https://tiki.vn/bai-tap-tin-hoc-dai-cuong-p29460791.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/1c/8d/27/21cd1c85bc9a51377b1202cf77dd8f5f.jpg,36000.0,Bài tập Tin học đại cương 
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/thiet-ke-va-thi-cong-cong-tren-duong-o-to-p27982725.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/31/d5/85/d7d59c3a31a9a32af4eebb8263a49eac.jpg,120700.0,Thiết Kế Và Thi Công Cống Trên Đường Ô Tô 
Bộ Xây dựng,Bìa mềm,VND,https://tiki.vn/huong-dan-thiet-ke-ket-cau-nha-cao-tang-be-tong-cot-thep-chiu-dong-dat-theo-tcxdvn-375-2006-p27984362.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/a9/7f/cf/0f1407da413f7282a51faaa8959a585f.jpg,55250.0,Hướng Dẫn Thiết Kế Kết Cấu Nhà Cao Tầng Bê Tông Cốt Thép Chịu Động Đất : Theo TCXDVN 375:2006
Bìa cứng,,VND,https://tiki.vn/phuong-phap-phan-tich-sac-ky-va-chiet-tach-p14437977.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/2c/d9/d9/e122746665453c29b89c4e4ad185e2ff.jpg,335000.0,Phương pháp phân tích sắc ký và chiết tách
Thanh Huyền,,VND,https://tiki.vn/ky-thuat-trong-va-cham-soc-mot-so-loai-rau-p24165978.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/6b/cf/dc/e66f5c4cab207f3045c5fc1395a68b6a.jpg,15600.0,Kỹ Thuật Trồng Và Chăm Sóc Một Số Loại Rau
Gerry Bailey,Bìa mềm,VND,https://tiki.vn/tap-lam-kien-truc-su-nhung-ngoi-nha-co-tich-p468388.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/n/h/nh_ng_ng_i_nh_c_t_ch.jpg,18750.0,Tập Làm Kiến Trúc Sư -  Những Ngôi Nhà Cổ Tích 
